Designator,Mid X,Mid Y,Rotation,Layer
J13,196.8675,-131.505,0.0,top
J14,181.25,-38.845,90.0,top
J15,128.285,-102.32,180.0,top
J16,128.285,-66.32,180.0,top
J17,128.285,-84.32,180.0,top
J2,160.785,-117.72,180.0,top
J3,160.745,-101.1,180.0,top
J4,165.85,-40.22,90.0,top
J5,145.4,-131.655,270.0,top
J6,158.8,-131.655,270.0,top
J7,138.785,-118.32,180.0,top
J8,128.545,-119.5,180.0,top
J9,184.4,-131.655,270.0,top
JP1,136.4375,-130.305,0.0,top
JP2,167.295,-106.0575,270.0,top
JP3,145.73,-111.7,270.0,top
L1,177.2,-99.9,270.0,bottom
L2,159.55,-79.2625,270.0,bottom
LOGO1,154.255562,-46.16407,0.0,top
LOGO2,218.535423,-89.347578,0.0,bottom
Q1,185.5,-59.8,180.0,top
Q10,204.995,-55.5025,90.0,bottom
Q11,205.035,-68.8225,90.0,bottom
Q12,199.2125,-58.3625,270.0,top
Q13,153.95,-46.85,90.0,bottom
Q14,153.95,-54.65,270.0,bottom
Q2,185.5,-65.9,180.0,top
Q3,185.515,-52.9325,180.0,top
Q4,138.7,-101.2,0.0,top
Q5,138.8,-107.7,180.0,top
Q6,138.7,-65.2,0.0,top
Q7,138.8,-71.7,180.0,top
Q8,138.7,-83.3,0.0,top
Q9,138.8,-89.8,180.0,top
R1,163.495,-107.0375,270.0,top
R10,212.6,-104.0,0.0,bottom
R100,193.3,-55.8125,270.0,bottom
R101,189.9,-55.8125,90.0,bottom
R102,195.0,-55.8125,90.0,bottom
R103,195.8125,-51.4,270.0,bottom
R104,192.0875,-65.8,90.0,bottom
R105,193.795,-65.7775,90.0,bottom
R106,195.395,-65.79,90.0,bottom
R107,206.7125,-56.8,180.0,top
R108,196.0,-96.7,180.0,top
R109,196.0,-95.1,180.0,top
R11,221.8025,-96.0075,0.0,top
R110,196.0025,-98.23,180.0,top
R111,198.9975,-106.38,0.0,top
R112,199.5,-109.7,270.0,top
R113,172.14,-107.73,180.0,top
R114,184.44,-107.5,180.0,top
R115,174.5,-111.0,270.0,top
R116,168.9,-111.0,270.0,top
R117,187.2,-111.0,270.0,top
